Action,Campaign,Ad group,Keyword,Match type,Status
Add,KicksCrew -General -  SA,,-kickscrew,Exact match,Enabled
Add,KicksCrew -General -  SA,,-كيكس كرو,Exact match,Enabled
Add,KicksCrew -General -  SA,,-كيكسكرو,Exact match,Enabled
Add,KicksCrew -General -  SA,,-kickscrew shoes,Exact match,Enabled
Add,KicksCrew -General -  SA,,-kickscrew ksa,Exact match,Enabled
